name,wins,looses,draws,ko_rate,stance,age,height,reach,country,height_m,reach_cm
jeff smith,141,35,4,26.2,Unknown,131,5.71 ft (1.74 m),70.87 inches (180 cm),United States,1.74,180.0
buck smith,180,20,2,52.9,Orthodox,57,5.74 ft (1.75 m),68.11 inches (173 cm),United States,1.75,173.0
oleydong sithsamerchai,55,2,1,36.2,Southpaw,37,5.28 ft (1.61 m),61.42 inches (156 cm),Thailand,1.61,156.0
dan sherry,22,6,0,35.7,Orthodox,56,6.00 ft (1.83 m),70.08 inches (178 cm),Canada,1.83,178.0
omar sheika,32,12,0,47.7,Orthodox,45,6.00 ft (1.83 m),70.08 inches (178 cm),United States,1.83,178.0
vyacheslav shabranskyy,13,2,0,66.7,Orthodox,35,6.17 ft (1.88 m),75.20 inches (191 cm),Ukraine,1.88,191.0
dave shade,155,29,60,6.8,Orthodox,120,5.68 ft (1.73 m),70.87 inches (180 cm),United States,1.73,180.0
ezra sellers,29,8,0,70.3,Southpaw,53,6.07 ft (1.85 m),77.17 inches (196 cm),United States,1.85,196.0
lee selby,28,3,0,26.5,Orthodox,35,5.71 ft (1.74 m),68.90 inches (175 cm),United Kingdom,1.74,175.0
cletus seldin,25,1,0,75.0,Unknown,35,5.58 ft (1.70 m),66.93 inches (170 cm),United States,1.7,170.0
malik scott,37,3,1,31.7,Orthodox,41,6.33 ft (1.93 m),81.10 inches (206 cm),United States,1.93,206.0
max schmeling,56,10,4,57.1,Orthodox,116,6.07 ft (1.85 m),75.98 inches (193 cm),Germany,1.85,193.0
johnny saxton,55,9,2,31.8,Orthodox,92,5.74 ft (1.75 m),70.87 inches (180 cm),United States,1.75,180.0
Alex saucedo,29,1,0,63.3,Orthodox,28,5.84 ft (1.78 m),72.05 inches (183 cm),United States,1.78,183.0
petey sarron,110,24,19,16.3,Orthodox,115,5.25 ft (1.60 m),62.99 inches (160 cm),United States,1.6,160.0
diego ricardo santillan,23,3,0,57.7,Orthodox,35,5.28 ft (1.61 m),69.29 inches (176 cm),Argentina,1.61,176.0
edwin santana,27,5,6,18.4,Orthodox,52,5.38 ft (1.64 m),66.93 inches (170 cm),Dominican Republic,1.64,170.0
leo santa cruz,37,2,1,47.5,Orthodox,34,5.58 ft (1.70 m),68.90 inches (175 cm),Mexico,1.7,175.0
salvador sanchez,44,1,1,69.6,Orthodox,63,5.58 ft (1.70 m),66.93 inches (170 cm),Mexico,1.7,170.0
orlando salido,43,14,4,47.6,Orthodox,41,5.51 ft (1.68 m),66.93 inches (170 cm),Mexico,1.68,170.0
pedro saiz,25,9,3,43.2,Southpaw,56,5.58 ft (1.70 m),70.08 inches (178 cm),Dominican Republic,1.7,178.0
veeraphol sahaprom,66,4,2,63.9,Orthodox,53,5.25 ft (1.60 m),64.96 inches (165 cm),Thailand,1.6,165.0
Kevin Lele Sadjo,15,0,0,93.3,Orthodox,32,5.68 ft (1.73 m),68.11 inches (173 cm),France,1.73,173.0
sandy saddler,144,16,2,63.6,Orthodox,96,5.71 ft (1.74 m),70.08 inches (178 cm),United States,1.74,178.0
andy ruiz jr,33,2,0,62.9,Orthodox,32,6.17 ft (1.88 m),74.02 inches (188 cm),Mexico,1.88,188.0
gary russell jr,31,1,0,56.3,Orthodox,34,5.38 ft (1.64 m),64.17 inches (163 cm),United States,1.64,163.0
john ruiz,44,9,1,54.5,Orthodox,50,6.17 ft (1.88 m),77.95 inches (198 cm),United States,1.88,198.0
