name,wins,looses,draws,ko_rate,stance,age,height,reach,country,height_m,reach_cm
alberto machado,21,2,0,73.9,Unknown,41,5.84 ft (1.78 m),72.05 inches (183 cm),Puerto Rico,1.78,183.0
enzo maccarinelli,41,8,0,67.3,Orthodox,42,6.33 ft (1.93 m),74.41 inches (189 cm),United Kingdom,1.93,189.0
erickson lubin,22,1,0,66.7,Southpaw,26,5.91 ft (1.80 m),75.98 inches (193 cm),United States,1.8,193.0
joe louis,66,3,0,75.4,Orthodox,108,6.17 ft (1.88 m),75.98 inches (193 cm),United States,1.88,193.0
tommy loughran,121,32,15,8.3,Orthodox,119,5.97 ft (1.82 m),72.83 inches (185 cm),United States,1.82,185.0
Teofimo Lopez,15,0,0,68.8,Unknown,25,5.68 ft (1.73 m),68.50 inches (174 cm),Unknown,1.73,174.0
yaqui lopez,61,15,0,51.3,Orthodox,71,6.17 ft (1.88 m),75.20 inches (191 cm),Mexico,1.88,191.0
ricardo lopez,51,0,1,73.1,Orthodox,56,5.41 ft (1.65 m),64.96 inches (165 cm),Mexico,1.65,165.0
josesito lopez,37,8,0,42.6,Orthodox,38,5.81 ft (1.77 m),68.90 inches (175 cm),United States,1.77,175.0
jose luis lopez,51,5,2,67.2,Orthodox,49,5.68 ft (1.73 m),70.08 inches (178 cm),Mexico,1.73,178.0
duilio loi,115,3,8,20.6,Orthodox,93,5.38 ft (1.64 m),68.90 inches (175 cm),Italy,1.64,175.0
vasyl lomachenko,14,2,0,62.5,Southpaw,34,5.51 ft (1.68 m),65.35 inches (166 cm),Ukraine,1.68,166.0
sonny liston,50,4,0,72.2,Orthodox,92,6.04 ft (1.84 m),83.86 inches (213 cm),United States,1.84,213.0
jorge linares,46,5,0,56.9,Orthodox,37,5.71 ft (1.74 m),69.29 inches (176 cm),"Venezuela, Bolivarian Republic of",1.74,176.0
lennox lewis,41,2,1,72.7,Orthodox,56,6.43 ft (1.96 m),83.86 inches (213 cm),United Kingdom,1.96,213.0
john henry lewis,97,10,4,51.4,Orthodox,108,5.91 ft (1.80 m),75.59 inches (192 cm),United States,1.8,192.0
ted kid lewis,232,45,25,26.2,Unknown,128,5.61 ft (1.71 m),68.90 inches (175 cm),United Kingdom,1.71,175.0
sugar ray leonard,36,3,1,62.5,Orthodox,66,5.84 ft (1.78 m),74.02 inches (188 cm),United States,1.78,188.0
benny leonard,185,22,12,32.0,Orthodox,126,5.41 ft (1.65 m),68.90 inches (175 cm),United States,1.65,175.0
david lemieux,41,4,0,72.3,Orthodox,33,5.81 ft (1.77 m),70.08 inches (178 cm),Canada,1.77,178.0
scott ledoux,33,13,4,44.0,Orthodox,73,6.14 ft (1.87 m),79.92 inches (203 cm),United States,1.87,203.0
jose legra,133,11,4,33.8,Orthodox,79,5.68 ft (1.73 m),62.99 inches (160 cm),Cuba,1.73,160.0
erislandy lara,26,3,3,46.9,Southpaw,39,5.74 ft (1.75 m),75.20 inches (191 cm),Cuba,1.75,191.0
tippy larkin,137,15,1,39.0,Orthodox,104,5.58 ft (1.70 m),70.87 inches (180 cm),United States,1.7,180.0
jake lamotta,83,19,4,28.3,Orthodox,101,5.68 ft (1.73 m),66.93 inches (170 cm),United States,1.73,170.0
ismael laguna,65,9,1,49.3,Orthodox,79,5.74 ft (1.75 m),68.11 inches (173 cm),Panama,1.75,173.0
fred ladd,45,11,0,58.9,Orthodox,50,5.91 ft (1.80 m),70.87 inches (180 cm),United States,1.8,180.0
fidel labarba,73,15,7,16.8,Orthodox,116,5.25 ft (1.60 m),66.14 inches (168 cm),United States,1.6,168.0
Sergey Kuzmin,15,1,0,57.9,Unknown,35,6.33 ft (1.93 m),75.59 inches (192 cm),Russian Federation,1.93,192.0
solly krieger,82,25,6,47.8,Orthodox,113,5.68 ft (1.73 m),68.11 inches (173 cm),United States,1.73,173.0
robin krasniqi,49,6,0,30.9,Orthodox,35,6.10 ft (1.86 m),74.02 inches (188 cm),Germany,1.86,188.0
sergey kovalev,34,4,1,72.5,Orthodox,39,6.00 ft (1.83 m),72.44 inches (184 cm),Russian Federation,1.83,184.0
matt korobov,28,3,1,43.8,Southpaw,39,5.91 ft (1.80 m),70.47 inches (179 cm),Russian Federation,1.8,179.0
kohei kono,33,11,1,28.3,Orthodox,41,5.45 ft (1.66 m),66.93 inches (170 cm),Japan,1.66,170.0
wladimir klitschko,64,5,0,76.8,Orthodox,46,6.50 ft (1.98 m),81.10 inches (206 cm),Ukraine,1.98,206.0
arthur king,63,13,0,26.3,Orthodox,95,5.61 ft (1.71 m),68.90 inches (175 cm),Canada,1.71,175.0
ievgen khytrov,19,2,0,76.2,Orthodox,34,5.91 ft (1.80 m),64.96 inches (165 cm),United States,1.8,165.0
Vitali Klitschko,45,2,0,87.2,Orthodox,51,6.59 ft (2.01 m),79.13 inches (201 cm),Ukraine,2.01,201.0
amir khan,34,5,0,53.8,Orthodox,35,5.71 ft (1.74 m),70.87 inches (180 cm),United Kingdom,1.74,180.0
mikkel kessler,46,3,0,71.4,Orthodox,43,6.07 ft (1.85 m),74.02 inches (188 cm),Denmark,1.85,188.0
egidijus kavaliauskas,22,1,1,75.0,Orthodox,34,5.74 ft (1.75 m),70.87 inches (180 cm),Lithuania,1.75,180.0
tomoki kameda,36,3,0,51.3,Orthodox,31,5.58 ft (1.70 m),66.14 inches (168 cm),Japan,1.7,168.0
louis 'kid' kaplan,121,23,20,17.0,Orthodox,120,5.15 ft (1.57 m),62.60 inches (159 cm),United States,1.57,159.0
sumbu kalambay,57,6,1,51.6,Orthodox,66,5.74 ft (1.75 m),72.05 inches (183 cm),Italy,1.75,183.0
ayub kalule,46,4,0,46.0,Southpaw,68,5.68 ft (1.73 m),72.83 inches (185 cm),Uganda,1.73,185.0
zab judah,42,10,0,53.7,Southpaw,44,5.61 ft (1.71 m),72.05 inches (183 cm),United States,1.71,183.0
anthony joshua,24,1,0,88.0,Orthodox,32,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,1.98,208.3
roy jones jr.,66,9,0,61.8,Orthodox,53,5.91 ft (1.80 m),74.02 inches (188 cm),United States,1.8,188.0
tureano johnson,21,2,1,60.0,Orthodox,38,5.84 ft (1.78 m),73.62 inches (187 cm),Bahamas,1.78,187.0
stevie johnston,42,6,1,36.7,Southpaw,49,5.38 ft (1.64 m),68.50 inches (174 cm),United States,1.64,174.0
harold johnson,76,11,0,36.8,Orthodox,94,5.84 ft (1.78 m),74.02 inches (188 cm),United States,1.78,188.0
dujuan johnson,21,3,0,70.8,Orthodox,61,5.71 ft (1.74 m),72.05 inches (183 cm),United States,1.74,183.0
glen johnson,54,20,2,48.7,Orthodox,53,5.74 ft (1.75 m),75.20 inches (191 cm),Jamaica,1.75,191.0
chris john,49,1,3,43.4,Orthodox,42,5.54 ft (1.69 m),68.90 inches (175 cm),Indonesia,1.69,175.0
ingemar johansson,26,2,0,60.7,Orthodox,89,6.04 ft (1.84 m),72.05 inches (183 cm),Sweden,1.84,183.0
eder jofre,72,2,4,64.1,Orthodox,86,5.35 ft (1.63 m),66.14 inches (168 cm),Brazil,1.63,168.0
bryant jennings,24,3,0,51.9,Orthodox,37,6.27 ft (1.91 m),83.86 inches (213 cm),United States,1.91,213.0
ben jeby,54,14,4,30.1,Orthodox,112,5.84 ft (1.78 m),70.08 inches (178 cm),United States,1.78,178.0
izzy jannazzo,65,46,15,6.3,Orthodox,107,5.71 ft (1.74 m),71.65 inches (182 cm),United States,1.74,182.0
phil jackson,44,13,0,65.5,Orthodox,58,6.07 ft (1.85 m),79.13 inches (201 cm),United States,1.85,201.0
daniel jacobs,36,3,0,75.0,Orthodox,35,6.07 ft (1.85 m),72.83 inches (185 cm),United States,1.85,185.0
beau jack,89,24,6,36.1,Orthodox,101,5.51 ft (1.68 m),68.50 inches (174 cm),United States,1.68,174.0
badou jack,22,3,3,44.8,Orthodox,38,6.07 ft (1.85 m),75.98 inches (193 cm),Sweden,1.85,193.0
david izon,27,6,0,69.7,Orthodox,54,6.27 ft (1.91 m),83.07 inches (211 cm),Nigeria,1.91,211.0
ryosuke iwasa,27,3,0,54.8,Southpaw,32,5.58 ft (1.70 m),70.47 inches (179 cm),Japan,1.7,179.0
julian jackson,55,6,0,80.3,Orthodox,61,5.97 ft (1.82 m),72.83 inches (185 cm),"Virgin Islands, U.S.",1.82,185.0
paul ingle,23,2,0,64.0,Orthodox,50,5.41 ft (1.65 m),66.93 inches (170 cm),United Kingdom,1.65,170.0
naoya inoue,20,0,0,85.0,Orthodox,29,5.35 ft (1.63 m),66.93 inches (170 cm),Japan,1.63,170.0
charles humez,94,7,1,45.6,Orthodox,95,5.74 ft (1.75 m),70.87 inches (180 cm),France,1.75,180.0
ace hudkins,68,20,13,24.5,Unknown,116,5.71 ft (1.74 m),68.11 inches (173 cm),United States,1.74,173.0
caleb hunter plant,21,0,0,52.4,Orthodox,30,6.07 ft (1.85 m),74.02 inches (188 cm),United States,1.85,188.0
azat hovhannisyan,18,3,0,71.4,Orthodox,34,5.48 ft (1.67 m),66.54 inches (169 cm),Armenia,1.67,169.0
jeff horn,20,2,1,54.2,Orthodox,34,5.74 ft (1.75 m),68.11 inches (173 cm),Australia,1.75,173.0
eddie hopson,30,2,0,43.8,Southpaw,51,5.35 ft (1.63 m),61.81 inches (157 cm),United States,1.63,157.0
lloyd honeyghan,43,5,0,62.5,Orthodox,62,5.68 ft (1.73 m),68.90 inches (175 cm),United Kingdom,1.73,175.0
bernard hopkins,55,8,2,47.8,Orthodox,57,6.07 ft (1.85 m),75.20 inches (191 cm),United States,1.85,191.0
evander holyfield,44,10,2,50.9,Orthodox,59,6.20 ft (1.89 m),77.95 inches (198 cm),United States,1.89,198.0
larry holmes,69,6,0,58.7,Orthodox,72,6.23 ft (1.90 m),81.10 inches (206 cm),United States,1.9,206.0
keith holmes,41,5,0,54.3,Southpaw,53,6.17 ft (1.88 m),77.95 inches (198 cm),United States,1.88,198.0
dennis hogan,28,3,1,21.9,Orthodox,37,5.68 ft (1.73 m),71.65 inches (182 cm),Australia,1.73,182.0
hiroyuki hisataka,23,17,2,23.8,Orthodox,37,5.38 ft (1.64 m),63.78 inches (162 cm),Japan,1.64,162.0
virgil hill,50,7,0,40.4,Orthodox,58,6.04 ft (1.84 m),77.17 inches (196 cm),United States,1.84,196.0
jamel herring,21,2,0,38.5,Unknown,36,5.84 ft (1.78 m),68.90 inches (175 cm),United States,1.78,175.0
freddy hernandez,31,9,0,48.8,Orthodox,43,5.84 ft (1.78 m),74.02 inches (188 cm),Mexico,1.78,188.0
genaro hernandez,38,2,1,41.5,Orthodox,56,5.91 ft (1.80 m),72.05 inches (183 cm),United States,1.8,183.0
robert helenius,30,3,0,57.6,Orthodox,38,6.56 ft (2.00 m),79.13 inches (201 cm),Finland,2.0,201.0
thomas hearns,61,5,1,71.6,Orthodox,63,6.07 ft (1.85 m),77.95 inches (198 cm),United States,1.85,198.0
david haye,28,4,0,81.3,Orthodox,41,6.27 ft (1.91 m),77.95 inches (198 cm),United Kingdom,1.91,198.0
len harvey,116,14,10,39.3,Unknown,115,6.00 ft (1.83 m),73.62 inches (187 cm),United Kingdom,1.83,187.0
ricky hatton,45,3,0,66.7,Orthodox,43,5.61 ft (1.71 m),64.96 inches (165 cm),United Kingdom,1.71,165.0
henry hank,62,31,4,41.2,Orthodox,87,5.84 ft (1.78 m),75.20 inches (191 cm),United States,1.78,191.0
naseem hamed,36,1,0,83.8,Southpaw,48,5.38 ft (1.64 m),64.17 inches (163 cm),United Kingdom,1.64,163.0
richard hall,30,14,0,63.6,Southpaw,50,6.27 ft (1.91 m),77.56 inches (197 cm),Jamaica,1.91,197.0
marvin hagler,62,3,2,77.6,Southpaw,68,5.81 ft (1.77 m),75.20 inches (191 cm),United States,1.77,191.0
oleksandr gvozdyk,17,1,0,77.8,Unknown,35,6.17 ft (1.88 m),75.59 inches (192 cm),Ukraine,1.88,192.0
stefan haertel,18,1,0,10.5,Orthodox,34,6.04 ft (1.84 m),74.02 inches (188 cm),Germany,1.84,188.0
art hafey,53,8,4,55.4,Orthodox,71,5.15 ft (1.57 m),62.99 inches (160 cm),Canada,1.57,160.0
andres gutierrez,39,2,1,59.1,Orthodox,29,5.51 ft (1.68 m),66.93 inches (170 cm),Mexico,1.68,170.0
robert guerrero,36,6,1,44.4,Southpaw,39,5.68 ft (1.73 m),70.08 inches (178 cm),United States,1.73,178.0
george groves,28,4,0,62.5,Orthodox,34,5.97 ft (1.82 m),72.05 inches (183 cm),United Kingdom,1.82,183.0
crawford grimsley,22,4,1,74.1,Orthodox,55,6.17 ft (1.88 m),77.17 inches (196 cm),United States,1.88,196.0
sherman griffin,17,7,0,52.0,Orthodox,59,6.27 ft (1.91 m),77.95 inches (198 cm),United States,1.91,198.0
montell griffin,50,8,1,50.8,Orthodox,52,5.58 ft (1.70 m),70.08 inches (178 cm),United States,1.7,178.0
harry greb,262,17,18,16.1,Orthodox,128,5.68 ft (1.73 m),70.87 inches (180 cm),United States,1.73,180.0
mitch green,19,6,1,44.4,Orthodox,65,6.43 ft (1.96 m),81.89 inches (208 cm),United States,1.96,208.0
rocky graziano,67,10,6,62.7,Orthodox,103,5.58 ft (1.70 m),68.50 inches (174 cm),United States,1.7,174.0
emile griffith,85,24,2,20.5,Orthodox,84,5.61 ft (1.71 m),72.05 inches (183 cm),"Virgin Islands, U.S.",1.71,183.0
michael grant,48,6,0,66.7,Orthodox,50,6.59 ft (2.01 m),85.83 inches (218 cm),United States,2.01,218.0
adrian granados,20,8,2,45.2,Orthodox,33,5.74 ft (1.75 m),74.02 inches (188 cm),Mexico,1.75,188.0
herol graham,48,6,0,51.9,Southpaw,62,5.97 ft (1.82 m),77.17 inches (196 cm),United Kingdom,1.82,196.0
jhonny gonzalez,68,11,0,69.6,Orthodox,40,5.54 ft (1.69 m),68.90 inches (175 cm),Mexico,1.69,175.0
miguel angel gonzalez,51,5,1,70.2,Orthodox,51,5.71 ft (1.74 m),68.11 inches (173 cm),Mexico,1.74,173.0
roman gonzalez,49,2,0,77.4,Orthodox,35,5.25 ft (1.60 m),64.17 inches (163 cm),Nicaragua,1.6,163.0
roberto gonzales,24,3,0,55.6,Orthodox,31,5.51 ft (1.68 m),61.81 inches (157 cm),Philippines,1.68,157.0
juan carlos gomez,55,4,0,66.7,Southpaw,49,6.30 ft (1.92 m),80.32 inches (204 cm),Cuba,1.92,204.0
gennady golovkin,41,1,1,83.7,Orthodox,40,5.87 ft (1.79 m),70.08 inches (178 cm),Kazakhstan,1.79,178.0
mike gibbons,113,11,8,28.6,Orthodox,135,5.74 ft (1.75 m),72.05 inches (183 cm),United States,1.75,183.0
tommy gibbons,95,5,5,45.3,Orthodox,131,6.04 ft (1.84 m),74.02 inches (188 cm),United States,1.84,188.0
noel gevor,24,2,0,38.5,Orthodox,31,6.20 ft (1.89 m),75.20 inches (191 cm),Germany,1.89,191.0
kid gavilan,108,30,5,19.6,Orthodox,96,5.87 ft (1.79 m),70.87 inches (180 cm),Cuba,1.79,180.0
jason gavern,27,21,4,23.1,Orthodox,45,6.17 ft (1.88 m),75.98 inches (193 cm),United States,1.88,193.0
terrell gausha,21,1,1,41.7,Orthodox,34,5.84 ft (1.78 m),73.62 inches (187 cm),United States,1.78,187.0
arturo gatti,40,9,0,63.3,Orthodox,50,5.61 ft (1.71 m),70.08 inches (178 cm),Canada,1.71,178.0
ceferino garcia,118,30,14,45.7,Orthodox,115,5.51 ft (1.68 m),70.08 inches (178 cm),Philippines,1.68,178.0
mikey garcia,40,1,0,73.2,Orthodox,34,5.51 ft (1.68 m),68.11 inches (173 cm),United States,1.68,173.0
danny garcia,36,2,0,53.8,Orthodox,34,5.71 ft (1.74 m),68.50 inches (174 cm),United States,1.74,174.0
yuriorkis gamboa,30,3,0,52.9,Orthodox,40,5.45 ft (1.66 m),64.96 inches (165 cm),Cuba,1.66,165.0
victor galindez,55,9,4,48.6,Orthodox,73,5.81 ft (1.77 m),72.44 inches (184 cm),Argentina,1.77,184.0
tyson fury,30,0,1,65.6,Orthodox,34,6.76 ft (2.06 m),85.04 inches (216 cm),United Kingdom,2.06,216.0
gene fullmer,55,6,3,37.5,Orthodox,91,5.68 ft (1.73 m),68.90 inches (175 cm),United States,1.73,175.0
sammy fuller,55,18,3,28.9,Orthodox,116,5.28 ft (1.61 m),61.81 inches (157 cm),United States,1.61,157.0
vitor jones freitas,17,5,1,43.5,Orthodox,29,5.64 ft (1.72 m),68.50 inches (174 cm),Brazil,1.72,174.0
acelino freitas,39,2,0,80.5,Orthodox,46,5.51 ft (1.68 m),66.93 inches (170 cm),Brazil,1.68,170.0
joe frazier,32,4,1,73.0,Orthodox,78,5.97 ft (1.82 m),72.83 inches (185 cm),United States,1.82,185.0
tommy freeman,181,20,22,37.2,Orthodox,118,5.61 ft (1.71 m),70.08 inches (178 cm),United States,1.71,178.0
Jermaine Franklin,20,0,0,65.0,Orthodox,28,6.17 ft (1.88 m),77.17 inches (196 cm),United States,1.88,196.0
stacy frazier,16,17,0,45.5,Orthodox,51,6.43 ft (1.96 m),83.07 inches (211 cm),United States,1.96,211.0
carl frampton,27,2,0,50.0,Orthodox,35,5.41 ft (1.65 m),61.81 inches (157 cm),United Kingdom,1.65,157.0
Joshua Franco,15,1,2,33.3,Orthodox,26,5.41 ft (1.65 m),66.93 inches (170 cm),United States,1.65,170.0
tiger jack fox,139,23,12,49.7,Orthodox,115,5.97 ft (1.82 m),75.20 inches (191 cm),United States,1.82,191.0
drian francisco,28,6,1,62.9,Orthodox,39,5.41 ft (1.65 m),64.96 inches (165 cm),Philippines,1.65,165.0
bob foster,56,8,1,70.8,Orthodox,84,6.27 ft (1.91 m),79.13 inches (201 cm),United States,1.91,201.0
carl froch,33,2,0,68.6,Orthodox,45,6.07 ft (1.85 m),75.20 inches (191 cm),United Kingdom,1.85,191.0
javier fortuna,36,2,1,61.0,Southpaw,33,5.54 ft (1.69 m),68.50 inches (174 cm),Dominican Republic,1.69,174.0
george foreman,76,5,0,84.0,Orthodox,73,6.30 ft (1.92 m),78.35 inches (199 cm),United States,1.92,199.0
vernon forrest,41,3,0,64.4,Orthodox,51,6.00 ft (1.83 m),72.83 inches (185 cm),United States,1.83,185.0
tiger flowers,134,17,8,34.0,Southpaw,129,5.84 ft (1.78 m),75.98 inches (193 cm),United States,1.78,193.0
zora folley,79,11,6,45.8,Orthodox,91,6.07 ft (1.85 m),77.17 inches (196 cm),United States,1.85,196.0
bj flores,32,4,1,54.1,Orthodox,43,6.17 ft (1.88 m),79.92 inches (203 cm),United States,1.88,203.0
omar figueroa,28,1,1,63.3,Orthodox,32,5.61 ft (1.71 m),72.83 inches (185 cm),United States,1.71,185.0
jackie fields,74,9,2,36.0,Orthodox,114,5.61 ft (1.71 m),68.90 inches (175 cm),United States,1.71,175.0
tevin farmer,30,5,1,16.2,Southpaw,32,5.51 ft (1.68 m),68.90 inches (175 cm),United States,1.68,175.0
esquiva falcao,27,0,0,66.7,Southpaw,32,5.84 ft (1.78 m),72.83 inches (185 cm),Brazil,1.78,185.0
chris eubank jr,29,2,0,71.0,Orthodox,32,5.91 ft (1.80 m),72.44 inches (184 cm),United Kingdom,1.8,184.0
juan francisco estrada,41,3,0,62.2,Orthodox,32,5.35 ft (1.63 m),66.14 inches (168 cm),Mexico,1.63,168.0
chris eubank,46,5,2,43.4,Orthodox,56,5.84 ft (1.78 m),72.83 inches (185 cm),United Kingdom,1.78,185.0
Jaron Ennis,25,0,0,88.5,Orthodox,25,5.84 ft (1.78 m),74.02 inches (188 cm),United States,1.78,188.0
flash elorde,89,27,2,28.0,Southpaw,87,5.48 ft (1.67 m),68.11 inches (173 cm),Philippines,1.67,173.0
davi eliasquevici,13,8,1,45.5,Orthodox,33,5.74 ft (1.75 m),69.29 inches (176 cm),Brazil,1.75,176.0
robert easter jr.,22,1,1,58.3,Unknown,31,5.91 ft (1.80 m),75.98 inches (193 cm),United States,1.8,193.0
roberto duran,103,16,0,58.8,Orthodox,71,5.58 ft (1.70 m),66.14 inches (168 cm),Panama,1.7,168.0
serhiy dzinziruk,37,2,1,60.0,Southpaw,46,6.00 ft (1.83 m),68.11 inches (173 cm),Ukraine,1.83,173.0
olanrewaju durodola,31,7,0,74.4,Orthodox,41,6.17 ft (1.88 m),77.56 inches (197 cm),Nigeria,1.88,197.0
ralph dupas,106,23,6,14.1,Orthodox,86,5.68 ft (1.73 m),68.11 inches (173 cm),United States,1.73,173.0
colin dunne,38,3,0,63.4,Orthodox,51,5.54 ft (1.69 m),68.11 inches (173 cm),United Kingdom,1.69,173.0
vince dundee,122,21,14,18.4,Orthodox,114,5.68 ft (1.73 m),70.87 inches (180 cm),United States,1.73,180.0
thomas dulorme,25,4,1,51.6,Orthodox,32,5.84 ft (1.78 m),70.08 inches (178 cm),Puerto Rico,1.78,178.0
terry downes,35,9,0,63.6,Orthodox,86,5.74 ft (1.75 m),68.90 inches (175 cm),United Kingdom,1.75,175.0
yunier dorticos,24,1,0,84.6,Orthodox,36,6.27 ft (1.91 m),79.92 inches (203 cm),Cuba,1.91,203.0
nonito donaire,40,6,0,54.2,Orthodox,39,5.45 ft (1.66 m),68.11 inches (173 cm),Philippines,1.66,173.0
tj doheny,22,1,0,69.6,Southpaw,35,5.51 ft (1.68 m),66.14 inches (168 cm),Australia,1.68,168.0
scott dixon,37,10,4,17.6,Orthodox,45,6.00 ft (1.83 m),75.98 inches (193 cm),United Kingdom,1.83,193.0
isaac dogboe,19,2,0,61.9,Orthodox,27,5.15 ft (1.57 m),66.14 inches (168 cm),Ghana,1.57,168.0
andre dirrell,26,3,0,55.2,Orthodox,38,6.07 ft (1.85 m),75.20 inches (191 cm),United States,1.85,191.0
anthony dirrell,33,2,1,66.7,Orthodox,37,6.04 ft (1.84 m),74.41 inches (189 cm),United States,1.84,189.0
christopher diaz,26,2,0,55.2,Orthodox,27,5.51 ft (1.68 m),64.17 inches (163 cm),Puerto Rico,1.68,163.0
juan diaz,41,4,0,44.4,Orthodox,38,5.51 ft (1.68 m),66.93 inches (170 cm),United States,1.68,170.0
joseph diaz,31,1,0,45.5,Southpaw,29,5.51 ft (1.68 m),64.17 inches (163 cm),United States,1.68,163.0
jack dempsey,59,6,11,59.2,Orthodox,127,6.07 ft (1.85 m),77.17 inches (196 cm),United States,1.85,196.0
sergiy derevyanchenko,13,2,0,66.7,Orthodox,36,5.58 ft (1.70 m),67.32 inches (171 cm),United States,1.7,171.0
paddy demarco,75,26,3,7.7,Orthodox,94,5.51 ft (1.68 m),70.08 inches (178 cm),United States,1.68,178.0
antonio demarco,33,8,1,57.1,Southpaw,36,5.84 ft (1.78 m),70.87 inches (180 cm),Mexico,1.78,180.0
justin deloach,17,4,0,36.4,Unknown,28,6.07 ft (1.85 m),72.05 inches (183 cm),United States,1.85,183.0
diego de la hoya,22,1,0,41.7,Orthodox,28,5.51 ft (1.68 m),68.11 inches (173 cm),Mexico,1.68,173.0
esteban de jesus,58,5,0,52.4,Orthodox,71,5.38 ft (1.64 m),66.93 inches (170 cm),Puerto Rico,1.64,170.0
freddie dawson,102,14,5,38.8,Orthodox,98,5.51 ft (1.68 m),68.50 inches (174 cm),United States,1.68,174.0
chad dawson,35,5,0,45.2,Southpaw,40,6.07 ft (1.85 m),76.38 inches (194 cm),United States,1.85,194.0
oscar de la hoya,39,6,0,66.7,Orthodox,49,5.87 ft (1.79 m),72.83 inches (185 cm),United States,1.79,185.0
les darcy,46,4,0,58.0,Orthodox,126,5.51 ft (1.68 m),70.87 inches (180 cm),Australia,1.68,180.0
jack culcay,29,4,0,39.4,Orthodox,36,5.58 ft (1.70 m),64.96 inches (165 cm),Germany,1.7,165.0
donald curry,34,6,0,62.5,Orthodox,60,5.81 ft (1.77 m),72.05 inches (183 cm),United States,1.77,183.0
steve cunningham,28,9,0,35.1,Orthodox,46,6.23 ft (1.90 m),81.89 inches (208 cm),United States,1.9,208.0
alfredo cuevas,26,10,1,45.9,Orthodox,52,5.74 ft (1.75 m),70.87 inches (180 cm),United States,1.75,180.0
pipino cuevas,35,15,0,62.0,Orthodox,64,5.68 ft (1.73 m),70.08 inches (178 cm),Mexico,1.73,178.0
jesus marcelo andres cuellar,29,4,0,66.7,Southpaw,35,5.41 ft (1.65 m),70.87 inches (180 cm),Argentina,1.65,180.0
terence crawford,37,0,0,75.7,Orthodox,34,5.68 ft (1.73 m),70.08 inches (178 cm),United States,1.73,178.0
anthony crolla,35,7,3,28.9,Orthodox,35,5.71 ft (1.74 m),66.93 inches (170 cm),United Kingdom,1.74,170.0
miguel cotto,41,6,0,70.2,Orthodox,41,5.58 ft (1.70 m),66.93 inches (170 cm),Puerto Rico,1.7,170.0
jezreel corrales,22,2,0,32.0,Orthodox,31,5.51 ft (1.68 m),66.93 inches (170 cm),Panama,1.68,170.0
diego corrales,40,5,0,73.3,Orthodox,44,5.87 ft (1.79 m),70.08 inches (178 cm),United States,1.79,178.0
marvin cordova jr,21,2,1,45.8,Orthodox,37,5.74 ft (1.75 m),70.08 inches (178 cm),United States,1.75,178.0
billy conn,64,11,1,19.7,Orthodox,104,6.14 ft (1.87 m),72.44 inches (184 cm),United States,1.87,184.0
steve collins,36,3,0,53.8,Orthodox,58,6.00 ft (1.83 m),70.87 inches (180 cm),Ireland,1.83,180.0
derrell coley,39,2,2,61.4,Orthodox,52,5.91 ft (1.80 m),75.20 inches (191 cm),United States,1.8,191.0
luis collazo,39,8,0,42.6,Southpaw,41,5.74 ft (1.75 m),72.05 inches (183 cm),United States,1.75,183.0
curtis cokes,62,14,4,37.5,Orthodox,85,5.68 ft (1.73 m),72.83 inches (185 cm),United States,1.73,185.0
gerrie coetzee,33,6,1,52.5,Orthodox,67,6.20 ft (1.89 m),81.10 inches (206 cm),South Africa,1.89,206.0
jerome coffee,36,13,1,40.0,Orthodox,64,5.54 ft (1.69 m),66.14 inches (168 cm),United States,1.69,168.0
justin clements,33,16,2,21.6,Orthodox,50,6.10 ft (1.86 m),72.83 inches (185 cm),Australia,1.86,185.0
fedor chudinov,21,3,0,58.3,Orthodox,34,5.81 ft (1.77 m),72.05 inches (183 cm),Russian Federation,1.77,183.0
isaac chilemba,26,7,2,28.6,Orthodox,35,6.07 ft (1.85 m),72.83 inches (185 cm),Malawi,1.85,185.0
anton christoforidis,54,15,8,16.9,Orthodox,105,5.68 ft (1.73 m),72.05 inches (183 cm),Greece,1.73,183.0
kid chocolate,136,10,6,33.6,Orthodox,112,5.51 ft (1.68 m),64.96 inches (165 cm),Cuba,1.68,165.0
dereck chisora,32,10,0,54.8,Orthodox,38,6.14 ft (1.87 m),74.02 inches (188 cm),United Kingdom,1.87,188.0
julio cesar chavez jr,51,4,1,58.9,Orthodox,36,6.07 ft (1.85 m),72.83 inches (185 cm),Mexico,1.85,185.0
jesus chavez,44,8,0,57.7,Orthodox,49,5.41 ft (1.65 m),64.96 inches (165 cm),Mexico,1.65,165.0
julio cesar chavez,107,6,2,74.8,Orthodox,60,5.61 ft (1.71 m),66.54 inches (169 cm),Mexico,1.71,169.0
dave charnley,48,12,1,44.3,Southpaw,86,5.51 ft (1.68 m),66.93 inches (170 cm),United Kingdom,1.68,170.0
jermall charlo,30,0,0,73.3,Orthodox,32,6.00 ft (1.83 m),73.62 inches (187 cm),United States,1.83,187.0
ezzard charles,93,25,1,43.7,Orthodox,101,6.00 ft (1.83 m),72.83 inches (185 cm),United States,1.83,185.0
eddie chambers,40,5,0,48.9,Orthodox,40,6.07 ft (1.85 m),75.20 inches (191 cm),United States,1.85,191.0
jermell charlo,35,1,1,50.0,Orthodox,32,5.91 ft (1.80 m),72.83 inches (185 cm),United States,1.8,185.0
