Name,Age,Weight,Height,Reach,Stance,Total_fights,Wins,Losses,Draws,No_contests
Daniel Dubois,27,Heavyweight,6 ft 5 in (196 cm) [ 1 ],78 in (198 cm) [ 1 ],Orthodox,24,22,2,,
Kazuto Ioka,36,"Mini flyweight, Light flyweight, Flyweight, Super flyweight",5 ft 4 + 1 ⁄ 2 in (164 cm),64 + 1 ⁄ 2 in (164 cm),Orthodox,36,31,4,1,
Moses Itauma,20,Heavyweight,1.94 m (6 ft 4 + 1 ⁄ 2 in),79”,Southpaw,12,12,,,
Dillian Whyte,37,,6 ft 4 in (193 cm) [ 4 ],78 in (198 cm) [ 4 ],Orthodox,,1,0,,
Canelo Álvarez,34,"Welterweight, Light middleweight, Middleweight, Super middleweight, Light heavyweight",5 ft 7 + 1 ⁄ 2 in (171 cm) [ 1 ],70 + 1 ⁄ 2 in (179 cm) [ 1 ],Orthodox,67,63,2,2,
Efe Ajagba,31,Heavyweight,1.98 m (6 ft 6 in),85 in (216 cm),Orthodox,21,20,1,1,
Dmitry Bivol,34,Light-heavyweight,6 ft 0 in (183 cm) [ 1 ],72 in (183 cm) [ 1 ],Orthodox,25,24,1,,
Jai Opetaia,30,"Cruiserweight, Heavyweight",6 ft 2 in (188 cm),76 in (193 cm),Southpaw,28,28,,,
Joshua Buatsi,32,Light heavyweight,6 ft 2 in (188 cm) [ 1 ],74 + 1 ⁄ 2 in (189 cm) [ 1 ],Orthodox,20,19,1,,
Emanuel Navarrete,30,"Flyweight, Super bantamweight, Featherweight, Super featherweight, Lightweight",5 ft 7 in (170 cm),72 in (183 cm),Orthodox,43,39,2,1,1
Arnold Barboza Jr.,33,"Light welterweight, Welterweight",5 ft 9 in (175 cm) [ 1 ],72 in (183 cm) [ 1 ],Orthodox [ 1 ],33,32,1,,
Justis Huni,26,Heavyweight,1.93 m (6 ft 4 in),,Orthodox,13,12,1,,
Gervonta Davis,30,"Super featherweight, Lightweight, Light welterweight",5 ft 5 in (165 cm) [ 1 ],67 + 1 ⁄ 2 in (171 cm) [ 1 ],Southpaw,31,30,,1,
Sam Goodman,,,,,,,,,,
Israil Madrimov,30,Light middleweight,5 ft 8 + 1 ⁄ 2 in (174 cm),68 + 1 ⁄ 2 in (174 cm),Orthodox,13,10,2,1,
Junto Nakatani,27,"Flyweight, Super flyweight, Bantamweight",5 ft 8 in (173 cm),68 + 1 ⁄ 2 in (174 cm),Southpaw,31,31,,,
Carlos Adames,31,"Welterweight, Light middleweight, Middleweight",5 ft 11 in (180 cm),73 in (185 cm),Orthodox [ a ],26,24,1,1,
